	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Artist Popilarity	Song Popularity	Duration_ms	Time Signature
4189	2003	Damien Rice	O	0.326	0.174	0	-16.427	1	0.0353	0.875	0.14	0.0826	0.0969	119.999	66	35	297413	4
4190	2012	Romeo Santos	The King Stays King - Sold Out at Madison Square Garden	0.667	0.846	11	-5.101	0	0.0402	0.166	0.0	0.792	0.734	128.736	85	44	235427	4
4191	2004	Kings of Convenience	Know-How	0.622	0.581	8	-10.92	1	0.0338	0.581	0.301	0.108	0.913	160.256	62	41	197133	4
4192	2002	Minus the Bear	Highly Refined Pirates	0.317	0.766	11	-5.716	0	0.0466	0.0413	0.00981	0.131	0.57	129.557	53	27	312760	4
4193	2004	Blue Scholars	Blue Scholars	0.861	0.945	1	-4.11	1	0.165	0.398	3.51e-06	0.108	0.961	156.02	44	25	184307	4
4194	2017	PRETTYMUCH	No More	0.61	0.848	9	-5.116	0	0.07	0.0704	0.0	0.344	0.666	152.21	70	59	203720	4
4195	2009	Aventura	The Last	0.756	0.696	1	-10.041	0	0.0638	0.147	0.0	0.129	0.683	89.988	76	47	201267	4
4196	2013	Gucci Mane	World War 3 (Lean)	0.742	0.275	6	-16.013	0	0.142	0.702	0.0	0.257	0.669	132.981	88	40	289045	4
4197	2005	Weezer	Make Believe	0.562	0.912	4	-2.791	1	0.0394	0.00243	1.53e-05	0.131	0.621	134.931	75	36	205240	4
4198	2006	James Newton Howard	Blood Diamond (Original Motion Picture Soundtrack)	0.102	0.0588	9	-22.96	0	0.0397	0.803	0.899	0.108	0.0306	81.588	68	48	144427	4
4199	2005	Ryan Adams & The Cardinals	Jacksonville City Nights	0.389	0.39	5	-6.735	1	0.0267	0.884	0.00021	0.0966	0.158	96.44	47	23	275267	3
4200	2006	Army Of The Pharaohs	The Torture Papers	0.627	0.878	8	-5.243	0	0.284	0.0385	6.09e-06	0.303	0.612	93.176	50	36	253093	4
4201	2016	Martin Garrix	Lions in the Wild	0.504	0.847	7	-6.81	0	0.0442	0.00434	0.0	0.816	0.28	127.854	87	58	211890	4
4202	2013	The Neighbourhood	The Love Collection	0.83	0.828	9	-5.562	0	0.0494	0.0509	0.00824	0.331	0.665	89.905	79	51	206960	4
4203	2000	Dwight Yoakam	dwightyoakamacoustic.net	0.572	0.356	4	-7.357	1	0.0258	0.688	5.54e-05	0.121	0.347	107.811	60	19	242133	4
4204	2006	Damien Rice	9	0.36	0.594	7	-6.898	1	0.0312	0.255	0.0	0.0875	0.466	107.528	66	53	225373	4
4205	2014	Timeflies	After Hours	0.699	0.513	1	-4.606	0	0.0619	0.0245	0.0	0.085	0.471	128.096	67	41	227800	4
4206	2012	SEGA SOUND TEAM	Jet Set Radio Future SEGA Original Tracks	0.628	0.938	7	-5.045	1	0.0539	0.000309	0.21	0.203	0.845	104.962	55	34	189536	4
4207	2009	Big Pun	The Legacy: The Best Of Big Pun	0.891	0.626	10	-5.632	0	0.289	0.051	0.0	0.0332	0.54	92.994	63	38	172000	4
4208	2004	Waylon Jennings	Ultimate Waylon Jennings	0.539	0.299	7	-11.833	1	0.0283	0.706	0.00113	0.201	0.158	61.421	67	26	181240	4
4209	2006	Mischief Brew	Songs From Under The Sink	0.753	0.308	0	-8.157	1	0.135	0.3	0.0	0.17	0.676	97.969	43	25	182533	4
4210	2006	Maelo Ruiz	Solo	0.754	0.444	11	-15.08	0	0.0393	0.488	1.63e-06	0.33	0.924	91.933	62	40	334013	4
4211	2016	Lewis Del Mar	EP	0.62	0.515	4	-8.174	0	0.172	0.505	6.5e-05	0.103	0.375	73.997	62	61	238400	4
4212	2011	Casting Crowns	Come To The Well	0.551	0.833	11	-5.145	1	0.0374	0.215	0.0	0.179	0.324	129.971	68	44	271280	4
4213	2000	Any Given Sunday (OST)	Any Given Sunday (OST)	0.459	0.866	9	-5.549	1	0.186	0.127	0.0134	0.371	0.385	150.301	0	26	200280	4
