,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track_Popularity,Artist_Popularity,Duration_ms,Time Signature
112,2012,Aer,Like the Way,0.859,0.697,9,-6.108,1,0.119,0.122,0.0,0.0887,0.549,89.995,46,78,207417,4
113,2015,El Komander,Por Favor No Cuelgues,0.585,0.652,11,-6.593,1,0.316,0.823,1.8e-06,0.106,0.851,119.17,46,67,176138,4
114,2002,Various Artists,I Get High,0.487,0.584,7,-12.128,0,0.0413,0.513,4.93e-06,0.131,0.738,129.484,40,8,191027,4
115,2006,Sparklehorse,Shade And Honey,0.718,0.548,0,-11.21,1,0.0264,0.551,0.185,0.0995,0.541,104.988,30,48,246735,4
116,2013,Various Artists,Live It Up,0.584,0.851,1,-3.392,1,0.0419,0.0185,0.0,0.0976,0.875,122.015,38,8,177667,4
117,2010,The Dead Weather,Hustle And Cuss,0.483,0.89,9,-3.378,1,0.196,0.0527,0.0299,0.248,0.494,89.658,43,53,225653,4
118,2012,Frank Ocean,Forrest Gump,0.678,0.386,2,-8.285,1,0.03,0.0998,0.00124,0.384,0.238,95.034,63,83,194840,4
119,2000,Dio,Straight Through the Heart,0.497,0.838,11,-11.246,1,0.0349,0.0217,0.00204,0.0937,0.529,94.244,24,77,274867,4
120,2008,Enya,Oíche Chiúin - Chorale,0.167,0.181,1,-16.421,1,0.0447,0.953,0.000511,0.0954,0.0369,74.934,35,75,229560,1
121,2014,Lights,Up We Go - Borgeous Remix,0.469,0.64,9,-4.411,1,0.0553,0.00441,0.000158,0.0683,0.336,127.908,39,66,281797,4
122,2000,Ohio Players,Fire,0.61,0.841,5,-8.807,0,0.0686,0.349,0.0258,0.318,0.864,107.592,21,55,272000,4
123,2012,Bruno Mars,Treasure,0.872,0.699,5,-5.071,0,0.0349,0.0291,0.000121,0.0639,0.934,116.033,45,90,176093,4
124,2001,Craig David,Time to Party,0.693,0.811,7,-6.859,1,0.0384,0.0181,0.0,0.414,0.72,103.019,43,73,244893,4
125,2010,Katy Perry,Hummingbird Heartbeat,0.595,0.899,6,-2.935,1,0.107,0.00245,0.0,0.0957,0.594,121.99,35,83,212280,4
126,2007,Chris Botti,Ave Maria,0.0959,0.0678,10,-23.164,1,0.0393,0.982,0.923,0.145,0.0975,67.355,26,56,346133,3
127,2002,Foo Fighters,Disenchanted Lullaby,0.502,0.79,9,-4.704,1,0.0388,0.00137,5.15e-06,0.134,0.301,113.281,41,80,273120,4
128,2013,Jah9,New Name,0.699,0.651,10,-4.79,0,0.0738,0.0859,0.0,0.0734,0.701,133.28,43,43,271078,4
129,2012,Gary Clark Jr.,Bright Lights,0.515,0.752,9,-1.853,0,0.0336,0.00207,2.5e-06,0.129,0.503,83.541,58,64,324787,4
130,2013,Frank Sinatra,The Christmas Waltz,0.267,0.236,5,-15.016,0,0.0313,0.737,0.0,0.189,0.149,103.197,37,81,192067,1
131,2015,Jerrod Niemann,Blue Bandana,0.475,0.829,9,-5.055,1,0.044,0.116,4.11e-05,0.123,0.325,167.845,41,62,207867,4
132,2003,Pet Shop Boys,New York City Boy,0.749,0.992,2,-4.59,0,0.0491,0.0747,1.12e-05,0.05,0.961,130.98,21,68,200533,4
133,2000,Blue States,Walkabout,0.673,0.802,9,-6.647,1,0.0392,0.134,0.726,0.548,0.484,94.852,42,47,299173,4
134,2016,Jeff Rosenstock,We Begged 2 Explode,0.559,0.337,11,-7.17,1,0.0278,0.113,0.0,0.127,0.276,100.41,43,51,224151,3
135,2004,Various Artists,Rockin' On Top Of The World,0.559,0.909,0,-3.937,1,0.222,0.0618,0.000115,0.101,0.742,115.107,26,8,154533,4
136,2014,Taylor Swift,You Are In Love,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,54,89,267107,4
137,2009,Banda Machos,Historia sin fin,0.776,0.586,2,-7.531,1,0.0321,0.467,2.99e-06,0.321,0.836,107.803,56,62,181453,4
138,2005,Las Guanabanas,Mi Gatita Y Yo,0.752,0.801,4,-8.322,0,0.0545,0.00158,0.0809,0.0799,0.785,94.993,37,33,229574,4
139,2012,Dr. Dog,Do The Trick,0.552,0.813,11,-4.623,1,0.0309,0.211,1.83e-05,0.0704,0.821,97.707,37,63,272413,4
140,2001,The Grass Roots,The River Is Wide,0.647,0.621,10,-9.929,1,0.0313,0.288,0.000426,0.291,0.691,117.031,32,57,160267,4
141,2001,Yann Tiersen,La maison,0.276,0.194,9,-13.141,0,0.0313,0.975,0.882,0.0955,0.0394,75.606,29,70,123920,4
142,2012,Brambles,In the Androgynous Dark,0.587,0.116,8,-17.019,1,0.0398,0.922,0.936,0.0903,0.0736,112.56,46,39,283000,4
143,2013,Kid Cudi,Mad Solar,0.611,0.947,3,-3.609,0,0.0736,0.539,0.42,0.217,0.355,150.411,42,78,248973,4
144,2007,Pixote,Franqueza / Tão Inocente / Tudo por Você,0.471,0.8,11,-6.624,0,0.0708,0.599,0.0,0.975,0.643,82.971,56,62,211947,4
145,2001,Kankick,On the Lookout,0.705,0.573,1,-9.444,1,0.386,0.462,0.0,0.12,0.639,92.064,35,46,259560,4
146,2010,Various Artists,"Gonna Fly Now - Theme From ""Rocky"" / Remastered",0.438,0.812,0,-3.7,1,0.0377,0.499,0.768,0.0444,0.465,95.613,55,8,168027,4
147,2009,Various Artists,Gitchee Gitchee Goo,0.714,0.946,7,-3.54,1,0.089,0.164,0.0,0.0658,0.895,163.085,45,8,117840,4
148,2011,Billy Currington,Don't,0.718,0.793,2,-3.743,1,0.0244,0.147,0.0,0.101,0.813,98.011,36,70,237320,4
149,2008,Mariachi Sol De Mexico De Jose Hernandez,Sabor A Mi,0.351,0.505,9,-4.77,1,0.0291,0.648,0.0,0.124,0.439,84.011,31,37,192027,4
150,2013,Smith Westerns,3am Spiritual,0.431,0.484,4,-7.824,0,0.0272,0.13,0.00079,0.25,0.361,154.168,36,40,263667,4
151,2004,Benny Golson,Killer Joe,0.532,0.369,5,-10.255,1,0.0407,0.793,0.00609,0.0819,0.236,120.192,41,37,413427,4
152,2008,Lee Ann Womack,Last Call,0.568,0.602,6,-6.951,1,0.0322,0.797,0.000501,0.0863,0.391,79.985,43,54,195467,4
153,2003,El Coyote Y Su Banda Tierra Santa,Mi Casa Nueva,0.732,0.744,0,-3.196,1,0.0388,0.51,6.07e-05,0.08,0.984,121.902,35,62,114507,4
154,2004,The Good Life,Inmates,0.53,0.376,2,-10.563,1,0.043,0.52,1.68e-06,0.124,0.256,123.047,27,33,579240,4
155,2015,Josh Garrels,At the Table,0.529,0.554,7,-7.939,1,0.0301,0.616,0.000263,0.118,0.285,93.967,50,58,289093,4
156,2001,Original Broadway Cast of The Producers,I Wanna Be a Producer,0.5,0.27,0,-11.899,0,0.0752,0.79,0.0,0.298,0.506,139.572,29,0,406053,4
157,2011,Glee Cast,Loser Like Me (Glee Cast Version),0.701,0.864,3,-4.351,1,0.0631,0.00331,0.0,0.0421,0.811,106.034,51,78,199000,4
158,2000,...Bender,Isolate,0.542,0.894,1,-5.025,1,0.0537,0.000155,0.00104,0.116,0.336,119.128,40,53,226000,4
159,2005,Various Artists,You Oughta Know,0.727,0.634,6,-6.566,0,0.267,0.0239,0.0,0.156,0.734,81.968,34,8,231640,4
160,2010,Big Time Rush,Oh Yeah,0.664,0.782,0,-4.768,1,0.0303,0.00346,0.0,0.441,0.674,120.049,43,65,204040,4
161,2010,Kidricc James,I'm the Shit,0.755,0.501,4,-14.7,1,0.31,0.000741,3.43e-05,0.347,0.774,144.071,29,48,209267,4
162,2005,Basement Jaxx,Do Your Thing,0.677,0.96,11,-3.685,0,0.0676,0.0325,0.28,0.138,0.791,124.927,37,60,259600,4
163,2000,Galt MacDermot,Coffee Cold,0.676,0.44,0,-11.96,1,0.0291,0.36,6.88e-05,0.162,0.499,80.434,61,53,205773,4
164,2004,Basia,New Day for You,0.712,0.741,9,-8.06,0,0.0303,0.171,0.0037,0.0826,0.585,110.025,28,45,267480,4
